light_intensity	ts
3380738,000000	2021-05-18T22:22:57:772
3385298,000000	2021-05-18T22:22:57:811
3387820,000000	2021-05-18T22:22:57:852
3391843,000000	2021-05-18T22:22:57:901
3393915,000000	2021-05-18T22:22:57:932
3398712,000000	2021-05-18T22:22:57:971
3401916,000000	2021-05-18T22:22:58:12
3405675,000000	2021-05-18T22:22:58:51
3408790,000000	2021-05-18T22:22:58:92
3413531,000000	2021-05-18T22:22:58:131
3415444,000000	2021-05-18T22:22:58:174
3421117,000000	2021-05-18T22:22:58:210
3423192,000000	2021-05-18T22:22:58:252
3426301,000000	2021-05-18T22:22:58:291
3429477,000000	2021-05-18T22:22:58:332
3432168,000000	2021-05-18T22:22:58:371
3433995,000000	2021-05-18T22:22:58:413
3432872,000000	2021-05-18T22:22:58:451
3434628,000000	2021-05-18T22:22:58:492
3438969,000000	2021-05-18T22:22:58:531
3441855,000000	2021-05-18T22:22:58:573
3443221,000000	2021-05-18T22:22:58:611
3446688,000000	2021-05-18T22:22:58:653
3451915,000000	2021-05-18T22:22:58:691
3453639,000000	2021-05-18T22:22:58:734
3458205,000000	2021-05-18T22:22:58:772
3462800,000000	2021-05-18T22:22:58:813
3465621,000000	2021-05-18T22:22:58:851
3470314,000000	2021-05-18T22:22:58:893
3475194,000000	2021-05-18T22:22:58:932
3479190,000000	2021-05-18T22:22:58:973
3483439,000000	2021-05-18T22:22:59:12
3487260,000000	2021-05-18T22:22:59:54
3489684,000000	2021-05-18T22:22:59:92
3490208,000000	2021-05-18T22:22:59:133
3492623,000000	2021-05-18T22:22:59:172
3491781,000000	2021-05-18T22:22:59:213
3496005,000000	2021-05-18T22:22:59:252
3499404,000000	2021-05-18T22:22:59:293
3503015,000000	2021-05-18T22:22:59:332
3508572,000000	2021-05-18T22:22:59:373
3511548,000000	2021-05-18T22:22:59:411
3516963,000000	2021-05-18T22:22:59:454
3517755,000000	2021-05-18T22:22:59:492
3521638,000000	2021-05-18T22:22:59:534
3526066,000000	2021-05-18T22:22:59:573
3525079,000000	2021-05-18T22:22:59:613
3527272,000000	2021-05-18T22:22:59:653
3530837,000000	2021-05-18T22:22:59:693
3536674,000000	2021-05-18T22:22:59:732
3541016,000000	2021-05-18T22:22:59:774
3545273,000000	2021-05-18T22:22:59:813
3549545,000000	2021-05-18T22:22:59:854
3552849,000000	2021-05-18T22:22:59:893
3553229,000000	2021-05-18T22:22:59:934
3556568,000000	2021-05-18T22:22:59:972
3560062,000000	2021-05-18T22:23:00:14
3557819,000000	2021-05-18T22:23:00:53
3560437,000000	2021-05-18T22:23:00:94
3563257,000000	2021-05-18T22:23:00:133
3566812,000000	2021-05-18T22:23:00:175
3568978,000000	2021-05-18T22:23:00:213
3570722,000000	2021-05-18T22:23:00:254
3572451,000000	2021-05-18T22:23:00:293
3577367,000000	2021-05-18T22:23:00:334
3583011,000000	2021-05-18T22:23:00:373
3588280,000000	2021-05-18T22:23:00:414
3589948,000000	2021-05-18T22:23:00:453
3592143,000000	2021-05-18T22:23:00:495
3594790,000000	2021-05-18T22:23:00:533
3596638,000000	2021-05-18T22:23:00:577
3595431,000000	2021-05-18T22:23:00:613
3596410,000000	2021-05-18T22:23:00:655
3599214,000000	2021-05-18T22:23:00:693
3600469,000000	2021-05-18T22:23:00:735
3603584,000000	2021-05-18T22:23:00:773
3605051,000000	2021-05-18T22:23:00:815
3604772,000000	2021-05-18T22:23:00:853
3604577,000000	2021-05-18T22:23:00:895
3606933,000000	2021-05-18T22:23:00:933
3605653,000000	2021-05-18T22:23:00:976
3606718,000000	2021-05-18T22:23:01:13
3611115,000000	2021-05-18T22:23:01:55
3611844,000000	2021-05-18T22:23:01:93
3613860,000000	2021-05-18T22:23:01:135
3615385,000000	2021-05-18T22:23:01:173
3618474,000000	2021-05-18T22:23:01:215
3621461,000000	2021-05-18T22:23:01:253
3619743,000000	2021-05-18T22:23:01:295
3620576,000000	2021-05-18T22:23:01:334
3625158,000000	2021-05-18T22:23:01:375
3624604,000000	2021-05-18T22:23:01:414
3627611,000000	2021-05-18T22:23:01:455
3629123,000000	2021-05-18T22:23:01:493
3628380,000000	2021-05-18T22:23:01:535
3632546,000000	2021-05-18T22:23:01:574
3633793,000000	2021-05-18T22:23:01:615
3637796,000000	2021-05-18T22:23:01:655
3639152,000000	2021-05-18T22:23:01:695
3641433,000000	2021-05-18T22:23:01:733
3645400,000000	2021-05-18T22:23:01:776
3649095,000000	2021-05-18T22:23:01:814
3655764,000000	2021-05-18T22:23:01:856
3660151,000000	2021-05-18T22:23:01:894
3662184,000000	2021-05-18T22:23:01:936
3664804,000000	2021-05-18T22:23:01:974
3667699,000000	2021-05-18T22:23:02:16
3669647,000000	2021-05-18T22:23:02:65
3670347,000000	2021-05-18T22:23:02:96
3672065,000000	2021-05-18T22:23:02:134
3678528,000000	2021-05-18T22:23:02:177
3683015,000000	2021-05-18T22:23:02:215
3688902,000000	2021-05-18T22:23:02:256
3692239,000000	2021-05-18T22:23:02:294
3696554,000000	2021-05-18T22:23:02:336
3698913,000000	2021-05-18T22:23:02:375
3701237,000000	2021-05-18T22:23:02:416
3705340,000000	2021-05-18T22:23:02:455
3708816,000000	2021-05-18T22:23:02:496
3709844,000000	2021-05-18T22:23:02:535
3711201,000000	2021-05-18T22:23:02:576
