light_intensity	ts
2103628,000000	2021-05-15T14:11:46:515
2103668,000000	2021-05-15T14:11:46:553
2103625,000000	2021-05-15T14:11:46:594
2103598,000000	2021-05-15T14:11:46:633
2103677,000000	2021-05-15T14:11:46:674
2103695,000000	2021-05-15T14:11:46:714
2103687,000000	2021-05-15T14:11:46:753
2103824,000000	2021-05-15T14:11:46:793
2103812,000000	2021-05-15T14:11:46:834
2103781,000000	2021-05-15T14:11:46:873
2103798,000000	2021-05-15T14:11:46:914
2103860,000000	2021-05-15T14:11:46:954
2103685,000000	2021-05-15T14:11:46:994
2103733,000000	2021-05-15T14:11:47:34
2103688,000000	2021-05-15T14:11:47:74
2103581,000000	2021-05-15T14:11:47:115
2103590,000000	2021-05-15T14:11:47:154
2103642,000000	2021-05-15T14:11:47:194
2103621,000000	2021-05-15T14:11:47:236
2103884,000000	2021-05-15T14:11:47:274
2103811,000000	2021-05-15T14:11:47:315
2103761,000000	2021-05-15T14:11:47:354
2103549,000000	2021-05-15T14:11:47:394
2103604,000000	2021-05-15T14:11:47:434
2103618,000000	2021-05-15T14:11:47:475
2103812,000000	2021-05-15T14:11:47:515
2103832,000000	2021-05-15T14:11:47:555
2103564,000000	2021-05-15T14:11:47:595
2103861,000000	2021-05-15T14:11:47:635
2103520,000000	2021-05-15T14:11:47:674
2103627,000000	2021-05-15T14:11:47:716
2103659,000000	2021-05-15T14:11:47:755
2103865,000000	2021-05-15T14:11:47:795
2103766,000000	2021-05-15T14:11:47:835
2103771,000000	2021-05-15T14:11:47:875
2103740,000000	2021-05-15T14:11:47:915
2103637,000000	2021-05-15T14:11:47:954
2103570,000000	2021-05-15T14:11:48:6
2103686,000000	2021-05-15T14:11:48:35
2103779,000000	2021-05-15T14:11:48:75
2103561,000000	2021-05-15T14:11:48:116
2103652,000000	2021-05-15T14:11:48:155
2103650,000000	2021-05-15T14:11:48:196
2103810,000000	2021-05-15T14:11:48:235
2103738,000000	2021-05-15T14:11:48:276
2103728,000000	2021-05-15T14:11:48:316
2103686,000000	2021-05-15T14:11:48:356
2103621,000000	2021-05-15T14:11:48:396
2103601,000000	2021-05-15T14:11:48:436
2103786,000000	2021-05-15T14:11:48:476
2103642,000000	2021-05-15T14:11:48:516
2103584,000000	2021-05-15T14:11:48:556
2103522,000000	2021-05-15T14:11:48:596
2103585,000000	2021-05-15T14:11:48:636
2103651,000000	2021-05-15T14:11:48:676
2103802,000000	2021-05-15T14:11:48:716
2103815,000000	2021-05-15T14:11:48:756
2103594,000000	2021-05-15T14:11:48:795
2103652,000000	2021-05-15T14:11:48:836
2103672,000000	2021-05-15T14:11:48:875
2103655,000000	2021-05-15T14:11:48:917
2103784,000000	2021-05-15T14:11:48:956
2103776,000000	2021-05-15T14:11:48:996
2103650,000000	2021-05-15T14:11:49:36
2103767,000000	2021-05-15T14:11:49:76
2103836,000000	2021-05-15T14:11:49:116
2103835,000000	2021-05-15T14:11:49:156
2103839,000000	2021-05-15T14:11:49:196
2103650,000000	2021-05-15T14:11:49:236
2103802,000000	2021-05-15T14:11:49:277
2103706,000000	2021-05-15T14:11:49:317
2103840,000000	2021-05-15T14:11:49:357
2103772,000000	2021-05-15T14:11:49:397
2103620,000000	2021-05-15T14:11:49:436
2103803,000000	2021-05-15T14:11:49:476
2103553,000000	2021-05-15T14:11:49:517
2103616,000000	2021-05-15T14:11:49:557
2103656,000000	2021-05-15T14:11:49:597
2103692,000000	2021-05-15T14:11:49:637
2103641,000000	2021-05-15T14:11:49:676
2103622,000000	2021-05-15T14:11:49:717
2103584,000000	2021-05-15T14:11:49:756
2103646,000000	2021-05-15T14:11:49:797
2103632,000000	2021-05-15T14:11:49:836
2103611,000000	2021-05-15T14:11:49:877
2103653,000000	2021-05-15T14:11:49:917
2103816,000000	2021-05-15T14:11:49:957
2103856,000000	2021-05-15T14:11:49:997
2103774,000000	2021-05-15T14:11:50:37
2103864,000000	2021-05-15T14:11:50:76
2103566,000000	2021-05-15T14:11:50:117
2103788,000000	2021-05-15T14:11:50:156
2103778,000000	2021-05-15T14:11:50:197
2103837,000000	2021-05-15T14:11:50:237
2103649,000000	2021-05-15T14:11:50:277
2103660,000000	2021-05-15T14:11:50:317
2103601,000000	2021-05-15T14:11:50:358
2103599,000000	2021-05-15T14:11:50:397
2103676,000000	2021-05-15T14:11:50:437
2103682,000000	2021-05-15T14:11:50:477
2103663,000000	2021-05-15T14:11:50:518
2103622,000000	2021-05-15T14:11:50:557
2103623,000000	2021-05-15T14:11:50:598
2103559,000000	2021-05-15T14:11:50:637
2103613,000000	2021-05-15T14:11:50:678
2103683,000000	2021-05-15T14:11:50:718
2103738,000000	2021-05-15T14:11:50:758
2103696,000000	2021-05-15T14:11:50:797
2103715,000000	2021-05-15T14:11:50:838
2103737,000000	2021-05-15T14:11:50:877
2103637,000000	2021-05-15T14:11:50:918
2103833,000000	2021-05-15T14:11:50:958
2103595,000000	2021-05-15T14:11:51:8
2103603,000000	2021-05-15T14:11:51:38
2103613,000000	2021-05-15T14:11:51:78
2103591,000000	2021-05-15T14:11:51:118
2103815,000000	2021-05-15T14:11:51:158
2103840,000000	2021-05-15T14:11:51:198
2103686,000000	2021-05-15T14:11:51:238
2103711,000000	2021-05-15T14:11:51:278
2103804,000000	2021-05-15T14:11:51:319
2103721,000000	2021-05-15T14:11:51:358
2103828,000000	2021-05-15T14:11:51:399
2103650,000000	2021-05-15T14:11:51:439
2103691,000000	2021-05-15T14:11:51:478
2103616,000000	2021-05-15T14:11:51:520
2103627,000000	2021-05-15T14:11:51:560
2103603,000000	2021-05-15T14:11:51:599
2103648,000000	2021-05-15T14:11:51:639
2103583,000000	2021-05-15T14:11:51:678
2103638,000000	2021-05-15T14:11:51:718
2103632,000000	2021-05-15T14:11:51:758
2103723,000000	2021-05-15T14:11:51:799
2103744,000000	2021-05-15T14:11:51:839
2103848,000000	2021-05-15T14:11:51:879
2103646,000000	2021-05-15T14:11:51:919
2103600,000000	2021-05-15T14:11:51:959
2103616,000000	2021-05-15T14:11:51:998
2103668,000000	2021-05-15T14:11:52:39
2103692,000000	2021-05-15T14:11:52:78
2103752,000000	2021-05-15T14:11:52:118
2103737,000000	2021-05-15T14:11:52:159
2103801,000000	2021-05-15T14:11:52:198
2103807,000000	2021-05-15T14:11:52:239
2103635,000000	2021-05-15T14:11:52:279
2103642,000000	2021-05-15T14:11:52:321
2103642,000000	2021-05-15T14:11:52:359
2103579,000000	2021-05-15T14:11:52:399
2103698,000000	2021-05-15T14:11:52:439
2103543,000000	2021-05-15T14:11:52:479
2103676,000000	2021-05-15T14:11:52:521
2103676,000000	2021-05-15T14:11:52:559
2103675,000000	2021-05-15T14:11:52:600
2103664,000000	2021-05-15T14:11:52:640
2103625,000000	2021-05-15T14:11:52:680
2103679,000000	2021-05-15T14:11:52:721
2103573,000000	2021-05-15T14:11:52:761
2103639,000000	2021-05-15T14:11:52:800
2103693,000000	2021-05-15T14:11:52:841
2103663,000000	2021-05-15T14:11:52:880
2103820,000000	2021-05-15T14:11:52:921
2103759,000000	2021-05-15T14:11:52:960
2103665,000000	2021-05-15T14:11:53:1
2103655,000000	2021-05-15T14:11:53:40
2103623,000000	2021-05-15T14:11:53:81
2103672,000000	2021-05-15T14:11:53:120
2103627,000000	2021-05-15T14:11:53:161
2103909,000000	2021-05-15T14:11:53:200
2103748,000000	2021-05-15T14:11:53:241
2103597,000000	2021-05-15T14:11:53:281
2103598,000000	2021-05-15T14:11:53:321
2103663,000000	2021-05-15T14:11:53:361
2103623,000000	2021-05-15T14:11:53:417
2103625,000000	2021-05-15T14:11:53:441
2103572,000000	2021-05-15T14:11:53:481
2103756,000000	2021-05-15T14:11:53:520
2103627,000000	2021-05-15T14:11:53:561
2103723,000000	2021-05-15T14:11:53:600
2103636,000000	2021-05-15T14:11:53:641
2103601,000000	2021-05-15T14:11:53:681
2103609,000000	2021-05-15T14:11:53:721
2103629,000000	2021-05-15T14:11:53:760
2103672,000000	2021-05-15T14:11:53:801
2103902,000000	2021-05-15T14:11:53:843
2103861,000000	2021-05-15T14:11:53:881
2103646,000000	2021-05-15T14:11:53:921
2103627,000000	2021-05-15T14:11:53:961
2103597,000000	2021-05-15T14:11:54:1
2103600,000000	2021-05-15T14:11:54:41
2103635,000000	2021-05-15T14:11:54:81
2103646,000000	2021-05-15T14:11:54:121
2103716,000000	2021-05-15T14:11:54:160
2103630,000000	2021-05-15T14:11:54:200
2103628,000000	2021-05-15T14:11:54:241
2103547,000000	2021-05-15T14:11:54:281
2103649,000000	2021-05-15T14:11:54:321
2103840,000000	2021-05-15T14:11:54:361
2103732,000000	2021-05-15T14:11:54:400
2103706,000000	2021-05-15T14:11:54:441
2103761,000000	2021-05-15T14:11:54:480
2103802,000000	2021-05-15T14:11:54:522
2103844,000000	2021-05-15T14:11:54:561
2103810,000000	2021-05-15T14:11:54:601
2103838,000000	2021-05-15T14:11:54:641
2103653,000000	2021-05-15T14:11:54:681
2103734,000000	2021-05-15T14:11:54:721
2103642,000000	2021-05-15T14:11:54:761
2103669,000000	2021-05-15T14:11:54:801
2103619,000000	2021-05-15T14:11:54:841
2103833,000000	2021-05-15T14:11:54:880
2103813,000000	2021-05-15T14:11:54:922
2103681,000000	2021-05-15T14:11:54:961
2103675,000000	2021-05-15T14:11:55:1
2103704,000000	2021-05-15T14:11:55:41
2103629,000000	2021-05-15T14:11:55:81
2103620,000000	2021-05-15T14:11:55:122
2103657,000000	2021-05-15T14:11:55:162
2103830,000000	2021-05-15T14:11:55:201
2103704,000000	2021-05-15T14:11:55:242
2103712,000000	2021-05-15T14:11:55:281
2103889,000000	2021-05-15T14:11:55:322
2103770,000000	2021-05-15T14:11:55:361
2103853,000000	2021-05-15T14:11:55:402
2103723,000000	2021-05-15T14:11:55:442
2103781,000000	2021-05-15T14:11:55:493
2103644,000000	2021-05-15T14:11:55:522
2103806,000000	2021-05-15T14:11:55:561
2103654,000000	2021-05-15T14:11:55:602
2103664,000000	2021-05-15T14:11:55:642
2103754,000000	2021-05-15T14:11:55:682
2103831,000000	2021-05-15T14:11:55:723
2103687,000000	2021-05-15T14:11:55:762
2103638,000000	2021-05-15T14:11:55:802
2103656,000000	2021-05-15T14:11:55:842
2103550,000000	2021-05-15T14:11:55:882
2103684,000000	2021-05-15T14:11:55:923
2103681,000000	2021-05-15T14:11:55:963
2103585,000000	2021-05-15T14:11:56:4
2103641,000000	2021-05-15T14:11:56:43
2103711,000000	2021-05-15T14:11:56:83
2103625,000000	2021-05-15T14:11:56:124
2103566,000000	2021-05-15T14:11:56:163
2103527,000000	2021-05-15T14:11:56:203
2103877,000000	2021-05-15T14:11:56:243
2103768,000000	2021-05-15T14:11:56:282
2103606,000000	2021-05-15T14:11:56:323
2103575,000000	2021-05-15T14:11:56:364
2103654,000000	2021-05-15T14:11:56:404
2103567,000000	2021-05-15T14:11:56:444
2103583,000000	2021-05-15T14:11:56:483
2103805,000000	2021-05-15T14:11:56:527
2103704,000000	2021-05-15T14:11:56:563
2103880,000000	2021-05-15T14:11:56:604
2103638,000000	2021-05-15T14:11:56:644
2103730,000000	2021-05-15T14:11:56:684
2103863,000000	2021-05-15T14:11:56:724
2103656,000000	2021-05-15T14:11:56:764
2103746,000000	2021-05-15T14:11:56:803
